arm,step_batch,eval_batch,is_self,pre_loss,post_loss,delta_loss,relative_delta
memorization_03_no_regularization_plus_t_one_oversample,31,9,0,0.4061502218,0.40569368,0.0004565417767,0.001124071223
memorization_03_no_regularization_plus_t_one_oversample,31,10,0,0.5204000473,0.5205083489,-0.0001083016396,-0.0002081122785
memorization_03_no_regularization_plus_t_one_oversample,31,11,0,0.4120126069,0.4119743407,3.826618195e-05,9.287624046e-05
memorization_03_no_regularization_plus_t_one_oversample,31,12,0,0.2415925413,0.2427618057,-0.001169264317,-0.004839819599
memorization_03_no_regularization_plus_t_one_oversample,31,13,0,0.4684722126,0.4686895609,-0.0002173483372,-0.0004639513964
memorization_03_no_regularization_plus_t_one_oversample,31,14,0,0.8903840184,0.8903397918,4.422664642e-05,4.967142885e-05
memorization_03_no_regularization_plus_t_one_oversample,31,15,0,0.5044499636,0.5044262409,2.372264862e-05,4.702676248e-05
memorization_03_no_regularization_plus_t_one_oversample,31,16,0,0.5159143209,0.5162699223,-0.0003556013107,-0.0006892642757
memorization_03_no_regularization_plus_t_one_oversample,31,17,0,0.3367334902,0.3365547657,0.0001787245274,0.0005307595845
memorization_03_no_regularization_plus_t_one_oversample,31,18,0,0.4172201157,0.4170191884,0.0002009272575,0.0004815857385
memorization_03_no_regularization_plus_t_one_oversample,31,19,0,0.2668915391,0.2669125497,-2.101063728e-05,-7.872350452e-05
memorization_03_no_regularization_plus_t_one_oversample,31,20,0,0.03643610701,0.03642104194,1.506507397e-05,0.000413465521
memorization_03_no_regularization_plus_t_one_oversample,31,21,0,0.5145412683,0.5144248605,0.0001164078712,0.0002262362193
memorization_03_no_regularization_plus_t_one_oversample,31,22,0,1.193644285,1.193845749,-0.0002014636993,-0.0001687803493
memorization_03_no_regularization_plus_t_one_oversample,31,23,0,0.3453829885,0.3456442952,-0.0002613067627,-0.0007565710282
memorization_03_no_regularization_plus_t_one_oversample,31,24,0,0.3503594995,0.3502300978,0.0001294016838,0.0003693397325
memorization_03_no_regularization_plus_t_one_oversample,31,25,0,0.5269067883,0.5267285705,0.0001782178879,0.0003382341845
memorization_03_no_regularization_plus_t_one_oversample,31,26,0,0.7792749405,0.779199779,7.516145706e-05,9.645049925e-05
memorization_03_no_regularization_plus_t_one_oversample,31,27,0,0.4060673416,0.4063023627,-0.0002350211143,-0.0005787737409
memorization_03_no_regularization_plus_t_one_oversample,31,28,0,0.8241855502,0.8241454959,4.005432129e-05,4.859866965e-05
memorization_03_no_regularization_plus_t_one_oversample,31,29,0,0.1264764071,0.1265595257,-8.311867714e-05,-0.0006571872105
memorization_03_no_regularization_plus_t_one_oversample,31,30,0,0.4651627243,0.4651908875,-2.816319466e-05,-6.054482268e-05
memorization_03_no_regularization_plus_t_one_oversample,31,31,1,0.3135044873,0.3119355142,0.001568973064,0.005004627136
memorization_03_no_regularization_plus_t_one_oversample,31,32,0,0.5690794587,0.5689923763,8.708238602e-05,0.000153023246
memorization_03_no_regularization_plus_t_one_oversample,31,33,0,0.5709459782,0.5713810921,-0.0004351139069,-0.0007620929536
memorization_03_no_regularization_plus_t_one_oversample,32,0,0,0.7085579634,0.7084971666,6.079673767e-05,8.580347807e-05
memorization_03_no_regularization_plus_t_one_oversample,32,1,0,0.3644303679,0.3643574715,7.289648056e-05,0.0002000285568
memorization_03_no_regularization_plus_t_one_oversample,32,2,0,0.2775094509,0.277402401,0.000107049942,0.0003857524191
memorization_03_no_regularization_plus_t_one_oversample,32,3,0,0.4938513935,0.4937943518,5.704164505e-05,0.0001155036633
memorization_03_no_regularization_plus_t_one_oversample,32,4,0,0.5351589918,0.5349494219,0.000209569931,0.0003916031203
memorization_03_no_regularization_plus_t_one_oversample,32,5,0,0.4896268249,0.4896184802,8.344650269e-06,1.704287806e-05
memorization_03_no_regularization_plus_t_one_oversample,32,6,0,0.14457497,0.1445742548,7.152557373e-07,4.947299918e-06
memorization_03_no_regularization_plus_t_one_oversample,32,7,0,0.3782736063,0.378334403,-6.079673767e-05,-0.0001607215958
memorization_03_no_regularization_plus_t_one_oversample,32,8,0,0.4898412824,0.4896132946,0.0002279877663,0.0004654319153
memorization_03_no_regularization_plus_t_one_oversample,32,9,0,0.4061502218,0.4061127901,3.743171692e-05,9.216224665e-05
memorization_03_no_regularization_plus_t_one_oversample,32,10,0,0.5204000473,0.5203626752,3.737211227e-05,7.181419846e-05
memorization_03_no_regularization_plus_t_one_oversample,32,11,0,0.4120126069,0.4120030999,9.506940842e-06,2.307439307e-05
memorization_03_no_regularization_plus_t_one_oversample,32,12,0,0.2415925413,0.2421084046,-0.0005158632994,-0.002135261695
memorization_03_no_regularization_plus_t_one_oversample,32,13,0,0.4684722126,0.4686283767,-0.0001561641693,-0.0003333477742
memorization_03_no_regularization_plus_t_one_oversample,32,14,0,0.8903840184,0.8903558254,2.819299698e-05,3.166386233e-05
memorization_03_no_regularization_plus_t_one_oversample,32,15,0,0.5044499636,0.5043836832,6.628036499e-05,0.0001313913565
memorization_03_no_regularization_plus_t_one_oversample,32,16,0,0.5159143209,0.5160883069,-0.0001739859581,-0.0003372380859
memorization_03_no_regularization_plus_t_one_oversample,32,17,0,0.3367334902,0.3366542757,7.921457291e-05,0.000235244118
memorization_03_no_regularization_plus_t_one_oversample,32,18,0,0.4172201157,0.4170923829,0.0001277327538,0.0003061519542
memorization_03_no_regularization_plus_t_one_oversample,32,19,0,0.2668915391,0.2669173181,-2.577900887e-05,-9.658983178e-05
memorization_03_no_regularization_plus_t_one_oversample,32,20,0,0.03643610701,0.03643897548,-2.86847353e-06,-7.872612541e-05
memorization_03_no_regularization_plus_t_one_oversample,32,21,0,0.5145412683,0.5144402981,0.0001009702682,0.0001962335666
memorization_03_no_regularization_plus_t_one_oversample,32,22,0,1.193644285,1.193781137,-0.0001368522644,-0.0001146507935
memorization_03_no_regularization_plus_t_one_oversample,32,23,0,0.3453829885,0.345456481,-7.349252701e-05,-0.0002127856017
memorization_03_no_regularization_plus_t_one_oversample,32,24,0,0.3503594995,0.3503007591,5.874037743e-05,0.0001676574419
memorization_03_no_regularization_plus_t_one_oversample,32,25,0,0.5269067883,0.5267514586,0.0001553297043,0.000294795413
memorization_03_no_regularization_plus_t_one_oversample,32,26,0,0.7792749405,0.7791478038,0.0001271367073,0.0001631474345
memorization_03_no_regularization_plus_t_one_oversample,32,27,0,0.4060673416,0.4061091542,-4.181265831e-05,-0.000102969764
memorization_03_no_regularization_plus_t_one_oversample,32,28,0,0.8241855502,0.8242180943,-3.254413605e-05,-3.948641909e-05
memorization_03_no_regularization_plus_t_one_oversample,32,29,0,0.1264764071,0.126502797,-2.638995647e-05,-0.0002086551721
memorization_03_no_regularization_plus_t_one_oversample,32,30,0,0.4651627243,0.4651947021,-3.197789192e-05,-6.874560289e-05
memorization_03_no_regularization_plus_t_one_oversample,32,31,0,0.3135044873,0.3133196831,0.0001848042011,0.0005894786474
memorization_03_no_regularization_plus_t_one_oversample,32,32,1,0.5690794587,0.5685831308,0.000496327877,0.0008721591852
memorization_03_no_regularization_plus_t_one_oversample,32,33,0,0.5709459782,0.5709735155,-2.753734589e-05,-4.82310883e-05
memorization_03_no_regularization_plus_t_one_oversample,33,0,0,0.7085579634,0.7085459828,1.19805336e-05,1.690833244e-05
memorization_03_no_regularization_plus_t_one_oversample,33,1,0,0.3644303679,0.3643598557,7.051229477e-05,0.0001934863309
memorization_03_no_regularization_plus_t_one_oversample,33,2,0,0.2775094509,0.2775314748,-2.202391624e-05,-7.936276106e-05
memorization_03_no_regularization_plus_t_one_oversample,33,3,0,0.4938513935,0.4940036535,-0.0001522600651,-0.0003083115024
memorization_03_no_regularization_plus_t_one_oversample,33,4,0,0.5351589918,0.5351598859,-8.940696716e-07,-1.670661776e-06
memorization_03_no_regularization_plus_t_one_oversample,33,5,0,0.4896268249,0.4896697998,-4.297494888e-05,-8.777082198e-05
memorization_03_no_regularization_plus_t_one_oversample,33,6,0,0.14457497,0.1445754617,-4.917383194e-07,-3.401268694e-06
memorization_03_no_regularization_plus_t_one_oversample,33,7,0,0.3782736063,0.3783377111,-6.410479546e-05,-0.0001694667415
memorization_03_no_regularization_plus_t_one_oversample,33,8,0,0.4898412824,0.4896835983,0.0001576840878,0.0003219085313
memorization_03_no_regularization_plus_t_one_oversample,33,9,0,0.4061502218,0.4062258303,-7.56084919e-05,-0.0001861589329
memorization_03_no_regularization_plus_t_one_oversample,33,10,0,0.5204000473,0.520362854,3.719329834e-05,7.147058985e-05
memorization_03_no_regularization_plus_t_one_oversample,33,11,0,0.4120126069,0.4119867086,2.589821815e-05,6.285782941e-05
memorization_03_no_regularization_plus_t_one_oversample,33,12,0,0.2415925413,0.2412649244,0.00032761693,0.001356072204
memorization_03_no_regularization_plus_t_one_oversample,33,13,0,0.4684722126,0.468662709,-0.0001904964447,-0.0004066333917
memorization_03_no_regularization_plus_t_one_oversample,33,14,0,0.8903840184,0.8904200792,-3.606081009e-05,-4.050028902e-05
memorization_03_no_regularization_plus_t_one_oversample,33,15,0,0.5044499636,0.5043236613,0.0001263022423,0.000250376155
memorization_03_no_regularization_plus_t_one_oversample,33,16,0,0.5159143209,0.5158073306,0.0001069903374,0.0002073800494
memorization_03_no_regularization_plus_t_one_oversample,33,17,0,0.3367334902,0.3368840814,-0.000150591135,-0.0004472116359
memorization_03_no_regularization_plus_t_one_oversample,33,18,0,0.4172201157,0.4172911942,-7.107853889e-05,-0.000170362205
memorization_03_no_regularization_plus_t_one_oversample,33,19,0,0.2668915391,0.26688236,9.179115295e-06,3.439267999e-05
memorization_03_no_regularization_plus_t_one_oversample,33,20,0,0.03643610701,0.03648228198,-4.617497325e-05,-0.001267286136
memorization_03_no_regularization_plus_t_one_oversample,33,21,0,0.5145412683,0.5145586133,-1.734495163e-05,-3.37095442e-05
memorization_03_no_regularization_plus_t_one_oversample,33,22,0,1.193644285,1.193754673,-0.0001103878021,-9.247964699e-05
memorization_03_no_regularization_plus_t_one_oversample,33,23,0,0.3453829885,0.3453514576,3.153085709e-05,9.129244387e-05
memorization_03_no_regularization_plus_t_one_oversample,33,24,0,0.3503594995,0.3503439426,1.555681229e-05,4.440242754e-05
memorization_03_no_regularization_plus_t_one_oversample,33,25,0,0.5269067883,0.5269349813,-2.819299698e-05,-5.35066118e-05
memorization_03_no_regularization_plus_t_one_oversample,33,26,0,0.7792749405,0.7791472673,0.0001276731491,0.0001638358203
memorization_03_no_regularization_plus_t_one_oversample,33,27,0,0.4060673416,0.405993402,7.393956184e-05,0.0001820869454
memorization_03_no_regularization_plus_t_one_oversample,33,28,0,0.8241855502,0.8242262006,-4.065036774e-05,-4.932186414e-05
memorization_03_no_regularization_plus_t_one_oversample,33,29,0,0.1264764071,0.1264379025,3.850460052e-05,0.0003044409738
memorization_03_no_regularization_plus_t_one_oversample,33,30,0,0.4651627243,0.4653519988,-0.0001892745495,-0.0004068996496
memorization_03_no_regularization_plus_t_one_oversample,33,31,0,0.3135044873,0.3138219714,-0.0003174841404,-0.001012694087
memorization_03_no_regularization_plus_t_one_oversample,33,32,0,0.5690794587,0.5690156817,6.377696991e-05,0.0001120704129
memorization_03_no_regularization_plus_t_one_oversample,33,33,1,0.5709459782,0.5694137812,0.001532196999,0.00268361116
